순위,제목,가수,앨범명
1,Kitsch,IVE (아이브),I've IVE
2,꽃,지수 (JISOO),ME
3,I AM,IVE (아이브),I've IVE
4,Ditto,NewJeans,NewJeans 'OMG'
5,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
6,OMG,NewJeans,NewJeans 'OMG'
7,Teddy Bear,STAYC(스테이씨),Teddy Bear
8,Like Crazy,지민,FACE
9,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
10,Love Me Like This,NMIXX,expérgo
11,사람 Pt.2 (feat. 아이유),Agust D,사람 Pt.2 (feat. 아이유)
12,I Don't Think That I Like Her,Charlie Puth,CHARLIE
13,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
14,심(心),DK(디셈버),심(心)
15,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
16,Nostalgia,우디 (Woody),Nostalgia
17,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
18,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
19,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
20,After LIKE,IVE (아이브),After LIKE
21,Zero,NewJeans,Zero
22,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
23,우리들의 블루스,임영웅,IM HERO
24,사랑하기 싫어,지아,사랑하기 싫어
25,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
26,LOVE DIVE,IVE (아이브),LOVE DIVE
27,다시 만날 수 있을까,임영웅,IM HERO
28,NIGHT DANCER,imase,NIGHT DANCER
29,London Boy,임영웅,Polaroid
30,Set Me Free Pt.2,지민,FACE
31,Polaroid,임영웅,Polaroid
32,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
33,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
34,무지개,임영웅,IM HERO
35,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
36,Candy,NCT DREAM,Candy - Winter Special Mini Album
37,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
38,아버지,임영웅,IM HERO
39,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
40,나비무덤,포맨 (4MEN),나비무덤
41,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
42,on the street (with J. Cole),j-hope,on the street (with J. Cole)
43,A bientot,임영웅,IM HERO
44,봄날,방탄소년단,YOU NEVER WALK ALONE
45,Dynamite,방탄소년단,Dynamite (DayTime Version)
46,인생찬가,임영웅,IM HERO
47,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
48,"Young, Dumb, Stupid",NMIXX,expérgo
49,손이 참 곱던 그대,임영웅,IM HERO
50,Blue Blood,IVE (아이브),I've IVE
51,사랑해 진짜,임영웅,IM HERO
52,Nxde,(여자)아이들,I love
53,연애편지,임영웅,IM HERO
54,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
55,해요 (2022),#안녕,해요 (2022)
56,Monologue,테이,Monologue
57,That's Hilarious,Charlie Puth,CHARLIE
58,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
59,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
60,Butter,방탄소년단,Butter
61,Shut Down,BLACKPINK,BORN PINK
